,pdq,Spdq,aic
567,"(1, 5, 4)","(1, 1, 1, 12)",1957.4192357275604
1417,"(4, 5, 3)","(0, 1, 1, 12)",1957.429520624727
1078,"(3, 4, 2)","(1, 1, 1, 12)",1957.4878418419778
1537,"(5, 2, 0)","(0, 1, 1, 12)",1957.5087242798359
126,"(0, 2, 3)","(1, 1, 0, 12)",1957.7365487987622
1141,"(3, 5, 4)","(1, 1, 0, 12)",1957.787044562593
1556,"(5, 2, 2)","(1, 1, 0, 12)",1957.8871371934442
1081,"(3, 4, 3)","(0, 1, 0, 12)",1957.9611101067483
134,"(0, 2, 4)","(1, 1, 0, 12)",1957.9612341972884
1356,"(4, 4, 1)","(1, 1, 0, 12)",1957.9765832934006
1133,"(3, 5, 3)","(1, 1, 0, 12)",1958.0272529118704
1365,"(4, 4, 2)","(1, 1, 1, 12)",1958.0888877607165
1252,"(4, 2, 0)","(1, 1, 0, 12)",1958.1082322022328
1569,"(5, 2, 4)","(0, 1, 1, 12)",1958.1203381565392
1280,"(4, 2, 4)","(0, 1, 0, 12)",1958.141840877982
566,"(1, 5, 4)","(1, 1, 0, 12)",1958.3191402769976
969,"(3, 2, 1)","(0, 1, 0, 12)",1958.3689925347949
1129,"(3, 5, 3)","(0, 1, 0, 12)",1958.3978387609322
1420,"(4, 5, 3)","(1, 1, 0, 12)",1958.4020200009227
271,"(0, 5, 3)","(1, 1, 1, 12)",1958.5339198929955
1138,"(3, 5, 4)","(0, 1, 1, 12)",1958.5724299982935
270,"(0, 5, 3)","(1, 1, 0, 12)",1958.7017282410245
1585,"(5, 3, 0)","(0, 1, 1, 12)",1958.720903743235
1074,"(3, 4, 2)","(0, 1, 1, 12)",1958.7629292689182
1568,"(5, 2, 4)","(0, 1, 0, 12)",1958.8196201430505
993,"(3, 2, 4)","(0, 1, 0, 12)",1958.8767453872474
1572,"(5, 2, 4)","(1, 1, 0, 12)",1958.8942127878902
410,"(1, 2, 3)","(0, 1, 0, 12)",1958.965016689171
386,"(1, 2, 0)","(0, 1, 0, 12)",1958.994968155502
106,"(0, 2, 1)","(0, 1, 0, 12)",1959.0198059144575
142,"(0, 2, 5)","(1, 1, 0, 12)",1959.0687375758162
1564,"(5, 2, 3)","(1, 1, 0, 12)",1959.0979526077556
1301,"(4, 3, 0)","(1, 1, 1, 12)",1959.1156858339798
1640,"(5, 4, 1)","(0, 1, 0, 12)",1959.1493086803155
1416,"(4, 5, 3)","(0, 1, 0, 12)",1959.2231364820254
841,"(2, 5, 3)","(0, 1, 0, 12)",1959.3576942921934
1704,"(5, 5, 3)","(0, 1, 0, 12)",1959.4228137854452
1540,"(5, 2, 0)","(1, 1, 0, 12)",1959.6499104115137
1260,"(4, 2, 1)","(1, 1, 0, 12)",1959.7788006388162
418,"(1, 2, 4)","(0, 1, 0, 12)",1959.8339323295456
1137,"(3, 5, 4)","(0, 1, 0, 12)",1959.8651233524859
1070,"(3, 4, 1)","(1, 1, 1, 12)",1959.910245931183
555,"(1, 5, 3)","(0, 1, 1, 12)",1959.9321579573218
1293,"(4, 2, 5)","(1, 1, 1, 12)",1960.1528993362995
977,"(3, 2, 2)","(0, 1, 0, 12)",1960.2098095941874
1066,"(3, 4, 1)","(0, 1, 1, 12)",1960.2784939015255
559,"(1, 5, 3)","(1, 1, 1, 12)",1960.4917928234747
674,"(2, 2, 0)","(0, 1, 0, 12)",1960.5169389750276
114,"(0, 2, 2)","(0, 1, 0, 12)",1960.5359000942171
1588,"(5, 3, 0)","(1, 1, 0, 12)",1960.5952703666273
1077,"(3, 4, 2)","(1, 1, 0, 12)",1960.7277826138225
698,"(2, 2, 3)","(0, 1, 0, 12)",1960.7379859503503
782,"(2, 4, 1)","(1, 1, 1, 12)",1960.8162605643338
1272,"(4, 2, 3)","(0, 1, 0, 12)",1961.0550010688494
1413,"(4, 5, 2)","(1, 1, 1, 12)",1961.1283845737623
426,"(1, 2, 5)","(0, 1, 0, 12)",1961.147109117533
1409,"(4, 5, 2)","(0, 1, 1, 12)",1961.1503147509773
778,"(2, 4, 1)","(0, 1, 1, 12)",1961.410662787591
1352,"(4, 4, 1)","(0, 1, 0, 12)",1961.4588562385095
1085,"(3, 4, 3)","(1, 1, 0, 12)",1961.4939631431548
1297,"(4, 3, 0)","(0, 1, 1, 12)",1961.5845127315247
1142,"(3, 5, 4)","(1, 1, 1, 12)",1961.5974392104563
1069,"(3, 4, 1)","(1, 1, 0, 12)",1961.6800634654755
1412,"(4, 5, 2)","(1, 1, 0, 12)",1961.8430840984665
1701,"(5, 5, 2)","(1, 1, 1, 12)",1961.897781441624
1014,"(3, 3, 0)","(1, 1, 1, 12)",1962.0177264003055
1082,"(3, 4, 3)","(0, 1, 1, 12)",1962.025290738698
1086,"(3, 4, 3)","(1, 1, 1, 12)",1962.035735293492
1576,"(5, 2, 5)","(0, 1, 0, 12)",1962.2003018001626
706,"(2, 2, 4)","(0, 1, 0, 12)",1962.2089989096944
1408,"(4, 5, 2)","(0, 1, 0, 12)",1962.3295370781607
682,"(2, 2, 1)","(0, 1, 0, 12)",1962.4346903804844
961,"(3, 2, 0)","(0, 1, 0, 12)",1962.5382773106849
781,"(2, 4, 1)","(1, 1, 0, 12)",1962.5934277088809
1121,"(3, 5, 2)","(0, 1, 0, 12)",1962.633151139783
1560,"(5, 2, 3)","(0, 1, 0, 12)",1962.6554267542588
122,"(0, 2, 3)","(0, 1, 0, 12)",1962.7664065217084
130,"(0, 2, 4)","(0, 1, 0, 12)",1962.8875363992067
523,"(1, 4, 5)","(0, 1, 1, 12)",1963.0163417519982
1248,"(4, 2, 0)","(0, 1, 0, 12)",1963.0255736775136
1696,"(5, 5, 2)","(0, 1, 0, 12)",1963.1163061015475
1289,"(4, 2, 5)","(0, 1, 1, 12)",1963.162535491323
527,"(1, 4, 5)","(1, 1, 1, 12)",1963.2729639078252
1300,"(4, 3, 0)","(1, 1, 0, 12)",1963.3526144367574
842,"(2, 5, 3)","(0, 1, 1, 12)",1963.5306961250965
1552,"(5, 2, 2)","(0, 1, 0, 12)",1963.5500437703383
846,"(2, 5, 3)","(1, 1, 1, 12)",1963.5578663701986
495,"(1, 4, 1)","(1, 1, 1, 12)",1963.7253363461584
714,"(2, 2, 5)","(0, 1, 0, 12)",1963.8343530352622
526,"(1, 4, 5)","(1, 1, 0, 12)",1963.970498025301
1437,"(4, 5, 5)","(1, 1, 1, 12)",1964.0777857504731
853,"(2, 5, 4)","(1, 1, 0, 12)",1964.2161098556548
845,"(2, 5, 3)","(1, 1, 0, 12)",1964.504588923975
1256,"(4, 2, 1)","(0, 1, 0, 12)",1964.6635493367999
138,"(0, 2, 5)","(0, 1, 0, 12)",1964.710906367091
1536,"(5, 2, 0)","(0, 1, 0, 12)",1964.7570076349796
1010,"(3, 3, 0)","(0, 1, 1, 12)",1965.1657380774727
522,"(1, 4, 5)","(0, 1, 0, 12)",1965.5848878823035
1065,"(3, 4, 1)","(0, 1, 0, 12)",1965.6147499600008
1584,"(5, 3, 0)","(0, 1, 0, 12)",1965.987244040716
490,"(1, 4, 1)","(0, 1, 0, 12)",1966.0608299210876
777,"(2, 4, 1)","(0, 1, 0, 12)",1966.327053974033
1073,"(3, 4, 2)","(0, 1, 0, 12)",1966.4711369113802
1544,"(5, 2, 1)","(0, 1, 0, 12)",1966.5594454396014
838,"(2, 5, 2)","(1, 1, 1, 12)",1966.592530867112
834,"(2, 5, 2)","(0, 1, 1, 12)",1966.9580998570761
727,"(2, 3, 0)","(1, 1, 1, 12)",1967.3845796655705
833,"(2, 5, 2)","(0, 1, 0, 12)",1967.4087603738117
837,"(2, 5, 2)","(1, 1, 0, 12)",1967.5735637571534
1013,"(3, 3, 0)","(1, 1, 0, 12)",1967.767526514112
1288,"(4, 2, 5)","(0, 1, 0, 12)",1968.2283590150685
1296,"(4, 3, 0)","(0, 1, 0, 12)",1968.857077285059
1292,"(4, 2, 5)","(1, 1, 0, 12)",1969.8630232933535
234,"(0, 4, 5)","(0, 1, 0, 12)",1970.4280609503708
655,"(2, 1, 3)","(1, 1, 1, 12)",1970.764620607311
1146,"(3, 5, 5)","(0, 1, 1, 12)",1970.7777775001673
723,"(2, 3, 0)","(0, 1, 1, 12)",1971.3847192960645
262,"(0, 5, 2)","(1, 1, 0, 12)",1971.5445816024812
857,"(2, 5, 5)","(0, 1, 0, 12)",1971.6535075367556
1149,"(3, 5, 5)","(1, 1, 0, 12)",1971.6596215529812
647,"(2, 1, 2)","(1, 1, 1, 12)",1971.6729495590055
1145,"(3, 5, 5)","(0, 1, 0, 12)",1971.704679559054
858,"(2, 5, 5)","(0, 1, 1, 12)",1972.1636122301452
958,"(3, 1, 5)","(1, 1, 1, 12)",1972.3860346163367
934,"(3, 1, 2)","(1, 1, 1, 12)",1972.4293431173019
861,"(2, 5, 5)","(1, 1, 0, 12)",1972.6865177017798
862,"(2, 5, 5)","(1, 1, 1, 12)",1972.9313221967598
726,"(2, 3, 0)","(1, 1, 0, 12)",1973.4649662801532
651,"(2, 1, 3)","(0, 1, 1, 12)",1973.5868719917003
1693,"(5, 5, 1)","(1, 1, 1, 12)",1973.850703843274
1689,"(5, 5, 1)","(0, 1, 1, 12)",1974.0004746994903
1009,"(3, 3, 0)","(0, 1, 0, 12)",1974.4881242762274
930,"(3, 1, 2)","(0, 1, 1, 12)",1974.7438910613323
950,"(3, 1, 4)","(1, 1, 1, 12)",1974.8679662620873
1692,"(5, 5, 1)","(1, 1, 0, 12)",1974.8836555633409
1637,"(5, 4, 0)","(1, 1, 1, 12)",1975.1273225409484
849,"(2, 5, 4)","(0, 1, 0, 12)",1975.2625460865604
643,"(2, 1, 2)","(0, 1, 1, 12)",1975.299331060904
1697,"(5, 5, 2)","(0, 1, 1, 12)",1975.5467900044891
850,"(2, 5, 4)","(0, 1, 1, 12)",1976.0662703266798
1688,"(5, 5, 1)","(0, 1, 0, 12)",1976.6953924749532
258,"(0, 5, 2)","(0, 1, 0, 12)",1976.7745717547684
1633,"(5, 4, 0)","(0, 1, 1, 12)",1976.8944658948278
1700,"(5, 5, 2)","(1, 1, 0, 12)",1977.3638141472538
1237,"(4, 1, 4)","(1, 1, 1, 12)",1977.4670407123012
946,"(3, 1, 4)","(0, 1, 1, 12)",1977.597295937829
954,"(3, 1, 5)","(0, 1, 1, 12)",1977.8044325908083
1636,"(5, 4, 0)","(1, 1, 0, 12)",1978.7168061398347
551,"(1, 5, 2)","(1, 1, 1, 12)",1978.927552957452
722,"(2, 3, 0)","(0, 1, 0, 12)",1979.0736909331883
238,"(0, 4, 5)","(1, 1, 0, 12)",1980.1928416986134
554,"(1, 5, 3)","(0, 1, 0, 12)",1980.4400038971348
239,"(0, 4, 5)","(1, 1, 1, 12)",1980.4613618224673
546,"(1, 5, 2)","(0, 1, 0, 12)",1980.8430890143832
558,"(1, 5, 3)","(1, 1, 0, 12)",1981.110535028136
1233,"(4, 1, 4)","(0, 1, 1, 12)",1981.6894057081074
933,"(3, 1, 2)","(1, 1, 0, 12)",1982.7919694130303
1405,"(4, 5, 1)","(1, 1, 1, 12)",1982.945067724044
1401,"(4, 5, 1)","(0, 1, 1, 12)",1983.4565138239889
854,"(2, 5, 4)","(1, 1, 1, 12)",1983.9131188689978
1525,"(5, 1, 4)","(1, 1, 1, 12)",1984.0897746447847
1404,"(4, 5, 1)","(1, 1, 0, 12)",1984.4095217491704
439,"(1, 3, 0)","(1, 1, 1, 12)",1985.2401492475394
1349,"(4, 4, 0)","(1, 1, 1, 12)",1985.284321198033
1517,"(5, 1, 3)","(1, 1, 1, 12)",1985.3818256142335
1400,"(4, 5, 1)","(0, 1, 0, 12)",1985.6032733724087
207,"(0, 4, 1)","(1, 1, 1, 12)",1985.904687153361
654,"(2, 1, 3)","(1, 1, 0, 12)",1986.205742963664
203,"(0, 4, 1)","(0, 1, 1, 12)",1986.721913202749
1632,"(5, 4, 0)","(0, 1, 0, 12)",1986.9287486314347
1345,"(4, 4, 0)","(0, 1, 1, 12)",1987.2806960953562
435,"(1, 3, 0)","(0, 1, 1, 12)",1987.3975066306514
206,"(0, 4, 1)","(1, 1, 0, 12)",1987.4588891707467
642,"(2, 1, 2)","(0, 1, 0, 12)",1987.686495778053
949,"(3, 1, 4)","(1, 1, 0, 12)",1988.3294025404177
1245,"(4, 1, 5)","(1, 1, 1, 12)",1988.432784571403
646,"(2, 1, 2)","(1, 1, 0, 12)",1988.4449702522347
1501,"(5, 1, 1)","(1, 1, 1, 12)",1988.5357392399771
1241,"(4, 1, 5)","(0, 1, 1, 12)",1988.5587467011765
1497,"(5, 1, 1)","(0, 1, 1, 12)",1988.9776507263275
438,"(1, 3, 0)","(1, 1, 0, 12)",1989.2975740451768
1348,"(4, 4, 0)","(1, 1, 0, 12)",1989.5216465998335
1244,"(4, 1, 5)","(1, 1, 0, 12)",1990.142475260052
1126,"(3, 5, 2)","(1, 1, 1, 12)",1990.4283656739115
1533,"(5, 1, 5)","(1, 1, 1, 12)",1990.4758832841972
351,"(1, 1, 1)","(1, 1, 1, 12)",1990.730274218853
202,"(0, 4, 1)","(0, 1, 0, 12)",1991.551753023805
347,"(1, 1, 1)","(0, 1, 1, 12)",1991.6984663405672
1529,"(5, 1, 5)","(0, 1, 1, 12)",1992.1403176257013
359,"(1, 1, 2)","(1, 1, 1, 12)",1992.1969053598282
1122,"(3, 5, 2)","(0, 1, 1, 12)",1992.40974149903
639,"(2, 1, 1)","(1, 1, 1, 12)",1992.4169067327489
631,"(2, 1, 0)","(1, 1, 1, 12)",1992.4261942310775
918,"(3, 1, 0)","(1, 1, 1, 12)",1992.4634890027976
1062,"(3, 4, 0)","(1, 1, 1, 12)",1992.5690424329607
355,"(1, 1, 2)","(0, 1, 1, 12)",1993.0876032087172
1217,"(4, 1, 2)","(0, 1, 1, 12)",1993.0911318700432
627,"(2, 1, 0)","(0, 1, 1, 12)",1993.1090720023842
938,"(3, 1, 3)","(0, 1, 1, 12)",1993.2472617776434
635,"(2, 1, 1)","(0, 1, 1, 12)",1993.3805264718276
942,"(3, 1, 3)","(1, 1, 1, 12)",1993.3904884229992
1221,"(4, 1, 2)","(1, 1, 1, 12)",1993.4639129429308
914,"(3, 1, 0)","(0, 1, 1, 12)",1993.553749009915
367,"(1, 1, 3)","(1, 1, 1, 12)",1993.9466857569723
1118,"(3, 5, 1)","(1, 1, 1, 12)",1994.175314659143
926,"(3, 1, 1)","(1, 1, 1, 12)",1994.2952169314253
1205,"(4, 1, 0)","(1, 1, 1, 12)",1994.409104085627
1125,"(3, 5, 2)","(1, 1, 0, 12)",1994.4866617234782
1236,"(4, 1, 4)","(1, 1, 0, 12)",1994.6331856105796
1114,"(3, 5, 1)","(0, 1, 1, 12)",1994.6376048233994
363,"(1, 1, 3)","(0, 1, 1, 12)",1994.8263198633292
1213,"(4, 1, 1)","(1, 1, 1, 12)",1994.9720887633785
922,"(3, 1, 1)","(0, 1, 1, 12)",1995.3194170632337
1225,"(4, 1, 3)","(0, 1, 1, 12)",1995.3867398154393
1201,"(4, 1, 0)","(0, 1, 1, 12)",1995.4444938547433
1513,"(5, 1, 3)","(0, 1, 1, 12)",1995.5480879737363
1058,"(3, 4, 0)","(0, 1, 1, 12)",1995.6294299957751
1505,"(5, 1, 2)","(0, 1, 1, 12)",1995.6404678892766
1117,"(3, 5, 1)","(1, 1, 0, 12)",1995.7489694407657
375,"(1, 1, 4)","(1, 1, 1, 12)",1995.8303073621794
1209,"(4, 1, 1)","(0, 1, 1, 12)",1995.8305308532797
1229,"(4, 1, 3)","(1, 1, 1, 12)",1996.0538933855605
1509,"(5, 1, 2)","(1, 1, 1, 12)",1996.2261098410002
1493,"(5, 1, 0)","(1, 1, 1, 12)",1996.4446427232651
371,"(1, 1, 4)","(0, 1, 1, 12)",1996.550875790509
663,"(2, 1, 4)","(1, 1, 1, 12)",1996.6463372761393
659,"(2, 1, 4)","(0, 1, 1, 12)",1997.2648283098342
151,"(0, 3, 0)","(1, 1, 1, 12)",1997.4009608359588
1113,"(3, 5, 1)","(0, 1, 0, 12)",1997.413520992093
1489,"(5, 1, 0)","(0, 1, 1, 12)",1997.4406645698812
1232,"(4, 1, 4)","(0, 1, 0, 12)",1998.0243030670588
434,"(1, 3, 0)","(0, 1, 0, 12)",1998.0380288673798
259,"(0, 5, 2)","(0, 1, 1, 12)",1998.359100040541
1344,"(4, 4, 0)","(0, 1, 0, 12)",1998.374791905644
1061,"(3, 4, 0)","(1, 1, 0, 12)",1998.4704481773388
87,"(0, 1, 4)","(1, 1, 1, 12)",1998.5438489268288
937,"(3, 1, 3)","(0, 1, 0, 12)",1998.5615590863065
83,"(0, 1, 4)","(0, 1, 1, 12)",1998.7331920669506
263,"(0, 5, 2)","(1, 1, 1, 12)",1998.7838115405013
1500,"(5, 1, 1)","(1, 1, 0, 12)",1999.0105150559934
1521,"(5, 1, 4)","(0, 1, 1, 12)",1999.223447986571
286,"(0, 5, 5)","(1, 1, 0, 12)",2000.567055857707
91,"(0, 1, 5)","(0, 1, 1, 12)",2000.6466870096515
95,"(0, 1, 5)","(1, 1, 1, 12)",2000.8310961849334
383,"(1, 1, 5)","(1, 1, 1, 12)",2001.085680540867
79,"(0, 1, 3)","(1, 1, 1, 12)",2001.751204138166
150,"(0, 3, 0)","(1, 1, 0, 12)",2001.7683840674229
830,"(2, 5, 1)","(1, 1, 1, 12)",2001.8610631829147
147,"(0, 3, 0)","(0, 1, 1, 12)",2002.0552459444657
75,"(0, 1, 3)","(0, 1, 1, 12)",2002.1218712154373
826,"(2, 5, 1)","(0, 1, 1, 12)",2002.147421147045
670,"(2, 1, 5)","(1, 1, 0, 12)",2002.5348236525472
379,"(1, 1, 5)","(0, 1, 1, 12)",2002.6698869456397
829,"(2, 5, 1)","(1, 1, 0, 12)",2003.040673447244
350,"(1, 1, 1)","(1, 1, 0, 12)",2003.4017638123416
343,"(1, 1, 0)","(1, 1, 1, 12)",2003.5273365769015
339,"(1, 1, 0)","(0, 1, 1, 12)",2003.9910406261756
941,"(3, 1, 3)","(1, 1, 0, 12)",2004.1896129016968
358,"(1, 1, 2)","(1, 1, 0, 12)",2004.518702300091
1685,"(5, 5, 0)","(1, 1, 1, 12)",2004.7199567937764
1532,"(5, 1, 5)","(1, 1, 0, 12)",2004.8652284091336
571,"(1, 5, 5)","(0, 1, 1, 12)",2005.0154583191215
638,"(2, 1, 1)","(1, 1, 0, 12)",2005.0779217319312
570,"(1, 5, 5)","(0, 1, 0, 12)",2005.1681168697921
630,"(2, 1, 0)","(1, 1, 0, 12)",2005.2650671229808
917,"(3, 1, 0)","(1, 1, 0, 12)",2005.3700668167205
667,"(2, 1, 5)","(0, 1, 1, 12)",2005.4202297026218
574,"(1, 5, 5)","(1, 1, 0, 12)",2005.5003130351545
671,"(2, 1, 5)","(1, 1, 1, 12)",2005.6342983811007
774,"(2, 4, 0)","(1, 1, 1, 12)",2006.0374700859984
366,"(1, 1, 3)","(1, 1, 0, 12)",2006.0609456317327
575,"(1, 5, 5)","(1, 1, 1, 12)",2006.3661256228752
825,"(2, 5, 1)","(0, 1, 0, 12)",2006.4058578921597
1228,"(4, 1, 3)","(1, 1, 0, 12)",2006.427729608883
925,"(3, 1, 1)","(1, 1, 0, 12)",2007.0058614267723
1508,"(5, 1, 2)","(1, 1, 0, 12)",2007.29314163043
1204,"(4, 1, 0)","(1, 1, 0, 12)",2007.3297247796243
1681,"(5, 5, 0)","(0, 1, 1, 12)",2007.3316096469084
146,"(0, 3, 0)","(0, 1, 0, 12)",2007.3845275981687
1516,"(5, 1, 3)","(1, 1, 0, 12)",2007.616579336425
374,"(1, 1, 4)","(1, 1, 0, 12)",2007.6443160861054
1057,"(3, 4, 0)","(0, 1, 0, 12)",2007.8929676006317
542,"(1, 5, 1)","(1, 1, 0, 12)",2008.1636734975486
1220,"(4, 1, 2)","(1, 1, 0, 12)",2008.512419088266
770,"(2, 4, 0)","(0, 1, 1, 12)",2008.627211263088
94,"(0, 1, 5)","(1, 1, 0, 12)",2008.922886299244
1684,"(5, 5, 0)","(1, 1, 0, 12)",2009.3638259481845
1212,"(4, 1, 1)","(1, 1, 0, 12)",2009.4653762817475
1492,"(5, 1, 0)","(1, 1, 0, 12)",2009.4754941754456
67,"(0, 1, 2)","(0, 1, 1, 12)",2009.4995922860815
86,"(0, 1, 4)","(1, 1, 0, 12)",2010.260842526968
662,"(2, 1, 4)","(1, 1, 0, 12)",2010.3014491577471
71,"(0, 1, 2)","(1, 1, 1, 12)",2010.315218576379
773,"(2, 4, 0)","(1, 1, 0, 12)",2010.3588746093608
1524,"(5, 1, 4)","(1, 1, 0, 12)",2012.285395438484
78,"(0, 1, 3)","(1, 1, 0, 12)",2012.803692840504
539,"(1, 5, 1)","(0, 1, 1, 12)",2012.9067200689558
543,"(1, 5, 1)","(1, 1, 1, 12)",2014.1555393583635
1680,"(5, 5, 0)","(0, 1, 0, 12)",2016.1713633820916
382,"(1, 1, 5)","(1, 1, 0, 12)",2016.2378526431078
666,"(2, 1, 5)","(0, 1, 0, 12)",2016.7827719227669
1224,"(4, 1, 3)","(0, 1, 0, 12)",2016.8436117991866
769,"(2, 4, 0)","(0, 1, 0, 12)",2018.0466904337122
342,"(1, 1, 0)","(1, 1, 0, 12)",2018.8191427408717
70,"(0, 1, 2)","(1, 1, 0, 12)",2019.4334483512323
1216,"(4, 1, 2)","(0, 1, 0, 12)",2019.6584590882476
1504,"(5, 1, 2)","(0, 1, 0, 12)",2021.7909907931037
59,"(0, 1, 1)","(0, 1, 1, 12)",2022.4549889909224
90,"(0, 1, 5)","(0, 1, 0, 12)",2022.4941256516365
957,"(3, 1, 5)","(1, 1, 0, 12)",2022.526203786732
538,"(1, 5, 1)","(0, 1, 0, 12)",2022.7398964338563
63,"(0, 1, 1)","(1, 1, 1, 12)",2023.4854063509235
346,"(1, 1, 1)","(0, 1, 0, 12)",2023.7232804066825
1397,"(4, 5, 0)","(1, 1, 1, 12)",2024.2969292377925
354,"(1, 1, 2)","(0, 1, 0, 12)",2024.3797019192511
1512,"(5, 1, 3)","(0, 1, 0, 12)",2024.4764226749996
1520,"(5, 1, 4)","(0, 1, 0, 12)",2024.6139809866381
362,"(1, 1, 3)","(0, 1, 0, 12)",2025.3583295445856
945,"(3, 1, 4)","(0, 1, 0, 12)",2025.4052191902474
634,"(2, 1, 1)","(0, 1, 0, 12)",2025.447920303818
913,"(3, 1, 0)","(0, 1, 0, 12)",2025.5157828847894
82,"(0, 1, 4)","(0, 1, 0, 12)",2025.9496909642914
74,"(0, 1, 3)","(0, 1, 0, 12)",2026.134363244319
921,"(3, 1, 1)","(0, 1, 0, 12)",2026.9993187125945
370,"(1, 1, 4)","(0, 1, 0, 12)",2027.0170935095925
650,"(2, 1, 3)","(0, 1, 0, 12)",2027.3090702139452
1200,"(4, 1, 0)","(0, 1, 0, 12)",2027.6748912585954
626,"(2, 1, 0)","(0, 1, 0, 12)",2027.8782853001796
1393,"(4, 5, 0)","(0, 1, 1, 12)",2028.0106517071115
929,"(3, 1, 2)","(0, 1, 0, 12)",2028.2592444270786
1488,"(5, 1, 0)","(0, 1, 0, 12)",2029.847239373169
1208,"(4, 1, 1)","(0, 1, 0, 12)",2029.9154173242148
658,"(2, 1, 4)","(0, 1, 0, 12)",2029.9563400488246
1496,"(5, 1, 1)","(0, 1, 0, 12)",2031.300475099324
1396,"(4, 5, 0)","(1, 1, 0, 12)",2031.4837461715592
1240,"(4, 1, 5)","(0, 1, 0, 12)",2032.2047714426956
66,"(0, 1, 2)","(0, 1, 0, 12)",2032.4162231868386
62,"(0, 1, 1)","(1, 1, 0, 12)",2034.0448082942044
1528,"(5, 1, 5)","(0, 1, 0, 12)",2034.438523053508
55,"(0, 1, 0)","(1, 1, 1, 12)",2037.8946274321731
378,"(1, 1, 5)","(0, 1, 0, 12)",2040.3963088697922
1392,"(4, 5, 0)","(0, 1, 0, 12)",2040.9406181107665
487,"(1, 4, 0)","(1, 1, 1, 12)",2040.9637545937503
